UID	TIME	A	B	C	D	E	F
double	double	double	double	double	double	double	double
4	14	45.375000	0.327341	2.583800	-0.312348	0.013401	0.017848
4	15	43.875000	0.327341	3.073956	-0.340022	0.012814	0.015809
4	16	43.250000	0.327341	3.291233	-0.350614	-0.000778	0.014769
4	17	43.000000	0.327341	3.380048	-0.353446	0.008677	0.014337
4	18	45.000000	0.327341	2.697464	-0.325360	0.017015	0.017185
4	19	45.000000	0.327341	2.696219	-0.326636	0.014725	0.017128
4	20	44.625000	0.327341	2.819420	-0.334230	0.005892	0.016619
4	21	43.875000	0.327341	3.074206	-0.348628	0.017208	0.015423
4	22	44.750000	0.327341	2.775649	-0.335066	0.006981	0.016660
4	23	46.000000	0.327341	2.371102	-0.308640	0.023596	0.018064
4	24	45.375000	0.327341	2.566861	-0.323278	0.014141	0.017313
4	25	44.750000	0.327341	2.772421	-0.338449	0.012739	0.016480
4	26	44.875000	0.327341	2.729041	-0.337518	0.010183	0.016588
4	27	43.500000	0.327341	3.210455	-0.362858	0.004566	0.014480
4	28	43.000000	0.327341	3.394196	-0.367301	0.003212	0.013688
4	29	42.875000	0.327341	3.441748	-0.370342	0.014544	0.013416
4	30	42.625000	0.327341	3.536833	-0.374828	0.004808	0.012955
4	31	43.250000	0.327341	3.306097	-0.370084	0.002811	0.013873
4	32	43.375000	0.327341	3.260933	-0.370984	-0.000826	0.014004
4	33	43.625000	0.327341	3.169044	-0.370328	0.012236	0.014249
